Region,month,Actual,Forecast,ErrorPercent,MonthShort,IsForecast,Forecast_Lower,Forecast_Upper
lpe,Feb,220,217,0.013636363636363636,Feb,False,195.3,238.70000000000002
lpe,Jan,180,217,0.20555555555555555,Jan,False,195.3,238.70000000000002
lpe,Mar,248,217,0.125,Mar,False,195.3,238.70000000000002
nont,Feb,1191,1223,0.02686817800167926,Feb,False,1100.7,1345.3000000000002
nont,Jan,980,1223,0.2479591836734694,Jan,False,1100.7,1345.3000000000002
nont,Mar,1156,1223,0.05795847750865052,Mar,False,1100.7,1345.3000000000002
taiwan,Feb,1411,1439,0.019844082211197732,Feb,False,1295.1000000000001,1582.9
taiwan,Jan,1160,1439,0.24051724137931035,Jan,False,1295.1000000000001,1582.9
taiwan,Mar,1402,1439,0.026390870185449358,Mar,False,1295.1000000000001,1582.9
tsmc az,Feb,4898,5827,0.18966925275622704,Feb,False,5244.3,6409.700000000001
tsmc az,Jan,5359,5827,0.08732972569509237,Jan,False,5244.3,6409.700000000001
tsmc az,Mar,5086,5827,0.14569406213134092,Mar,False,5244.3,6409.700000000001
tsmc global,Feb,23252,25002,0.07526234302425598,Feb,False,22501.8,27502.2
tsmc global,Jan,21637,25002,0.1555206359476822,Jan,False,22501.8,27502.2
tsmc global,Mar,24619,25002,0.015557090052398553,Mar,False,22501.8,27502.2
tsmc jp,Feb,0,285,0.0,Feb,False,256.5,313.5
tsmc jp,Jan,0,285,0.0,Jan,False,256.5,313.5
tsmc jp,Mar,0,285,0.0,Mar,False,256.5,313.5
tsmc tw,Feb,18354,18890,0.029203443391086412,Feb,False,17001.0,20779.0
tsmc tw,Jan,16278,18890,0.16046197321538272,Jan,False,17001.0,20779.0
tsmc tw,Mar,19533,18890,0.03291865048891619,Mar,False,17001.0,20779.0
